excel_model,split,class,model,auc,sensitivity,specificity,npv,ppv,acc
casgnet,val,,Dislocation,0.995(0.981-1.000),0.832(0.571-1.000),1.000(1.000-1.000),0.991(0.978-1.000),1.000(1.000-1.000),0.992(0.979-1.000)
casgnet,val,,Spacer,0.985(0.955-1.000),0.851(0.625-1.000),1.000(1.000-1.000),0.991(0.978-1.000),1.000(1.000-1.000),0.991(0.979-1.000)
casgnet,val,,Wear,0.983(0.958-0.999),0.699(0.333-1.000),0.996(0.987-1.000),0.987(0.970-1.000),0.871(0.571-1.000),0.983(0.963-0.996)
casgnet,val,,Fracture,0.976(0.956-0.992),0.853(0.724-0.968),0.966(0.940-0.990),0.974(0.950-0.995),0.812(0.676-0.939),0.949(0.917-0.975)
casgnet,val,,Stem Loosening,0.926(0.871-0.968),0.454(0.235-0.667),0.963(0.936-0.986),0.946(0.915-0.973),0.556(0.312-0.765),0.916(0.883-0.950)
casgnet,val,,Acetabular Loosening,0.920(0.884-0.952),0.486(0.368-0.612),0.958(0.926-0.984),0.826(0.771-0.876),0.822(0.698-0.927),0.825(0.775-0.871)
casgnet,val,,Good Place,0.882(0.838-0.921),0.861(0.782-0.934),0.708(0.640-0.779),0.912(0.856-0.960),0.591(0.504-0.683),0.758(0.704-0.812)
mobilenetv4_m,val,,Dislocation,0.994(0.978-1.000),0.751(0.467-1.000),1.000(1.000-1.000),0.987(0.970-1.000),1.000(1.000-1.000),0.987(0.971-1.000)
mobilenetv4_m,val,,Spacer,0.992(0.971-1.000),0.787(0.500-1.000),1.000(1.000-1.000),0.987(0.970-1.000),1.000(1.000-1.000),0.988(0.971-1.000)
mobilenetv4_m,val,,Fracture,0.912(0.871-0.951),0.399(0.242-0.568),0.951(0.919-0.978),0.902(0.863-0.940),0.583(0.375-0.786),0.870(0.829-0.908)
mobilenetv4_m,val,,Wear,0.912(0.811-0.983),0.495(0.167-0.800),0.996(0.987-1.000),0.978(0.957-0.996),0.836(0.500-1.000),0.975(0.954-0.992)
mobilenetv4_m,val,,Stem Loosening,0.874(0.783-0.955),0.541(0.333-0.750),0.967(0.941-0.987),0.954(0.925-0.978),0.628(0.400-0.846),0.928(0.892-0.958)
mobilenetv4_m,val,,Acetabular Loosening,0.846(0.799-0.890),0.499(0.371-0.614),0.838(0.780-0.888),0.809(0.750-0.864),0.548(0.425-0.672),0.742(0.688-0.796)
mobilenetv4_m,val,,Good Place,0.737(0.672-0.800),0.594(0.486-0.700),0.613(0.538-0.693),0.755(0.683-0.829),0.430(0.340-0.519),0.607(0.546-0.671)
starnet_s1,val,,Dislocation,0.991(0.972-1.000),0.755(0.500-1.000),1.000(1.000-1.000),0.987(0.970-1.000),1.000(1.000-1.000),0.988(0.971-1.000)
starnet_s1,val,,Spacer,0.983(0.943-1.000),0.853(0.636-1.000),1.000(1.000-1.000),0.991(0.978-1.000),1.000(1.000-1.000),0.992(0.979-1.000)
starnet_s1,val,,Wear,0.968(0.916-1.000),0.700(0.375-1.000),0.983(0.965-0.996),0.987(0.969-1.000),0.646(0.308-0.923),0.972(0.950-0.992)
starnet_s1,val,,Fracture,0.923(0.875-0.963),0.575(0.429-0.741),0.926(0.888-0.960),0.927(0.889-0.961),0.573(0.412-0.730),0.875(0.833-0.912)
starnet_s1,val,,Stem Loosening,0.921(0.846-0.977),0.502(0.286-0.714),0.982(0.963-0.995),0.951(0.920-0.978),0.735(0.500-0.933),0.937(0.904-0.967)
starnet_s1,val,,Acetabular Loosening,0.905(0.857-0.944),0.426(0.309-0.545),0.977(0.953-0.994),0.812(0.758-0.860),0.880(0.763-0.971),0.821(0.775-0.867)
starnet_s1,val,,Good Place,0.901(0.860-0.934),0.885(0.809-0.947),0.657(0.588-0.730),0.921(0.873-0.965),0.559(0.470-0.643),0.732(0.679-0.783)
densenet121,val,,Spacer,0.998(0.994-1.000),0.787(0.538-1.000),1.000(1.000-1.000),0.987(0.970-1.000),1.000(1.000-1.000),0.988(0.971-1.000)
densenet121,val,,Dislocation,0.968(0.902-1.000),0.833(0.571-1.000),0.996(0.987-1.000),0.991(0.978-1.000),0.906(0.667-1.000),0.987(0.971-1.000)
densenet121,val,,Fracture,0.961(0.937-0.980),0.600(0.423-0.757),0.937(0.902-0.967),0.932(0.895-0.962),0.620(0.459-0.786),0.887(0.850-0.925)
densenet121,val,,Stem Loosening,0.927(0.882-0.963),0.549(0.333-0.762),0.917(0.881-0.950),0.952(0.923-0.981),0.402(0.235-0.577),0.883(0.842-0.921)
densenet121,val,,Wear,0.859(0.732-0.971),0.398(0.111-0.714),0.970(0.945-0.991),0.974(0.951-0.991),0.366(0.091-0.692),0.946(0.917-0.971)
densenet121,val,,Acetabular Loosening,0.845(0.791-0.893),0.440(0.328-0.557),0.901(0.852-0.944),0.803(0.746-0.859),0.636(0.491-0.778),0.771(0.717-0.825)
densenet121,val,,Good Place,0.811(0.753-0.862),0.631(0.525-0.741),0.714(0.637-0.783),0.798(0.728-0.863),0.520(0.419-0.625),0.687(0.625-0.746)
resnet18,val,,Dislocation,1.000(1.000-1.000),0.917(0.714-1.000),1.000(1.000-1.000),0.996(0.987-1.000),1.000(1.000-1.000),0.996(0.988-1.000)
resnet18,val,,Spacer,0.997(0.990-1.000),0.930(0.769-1.000),0.991(0.978-1.000),0.996(0.986-1.000),0.863(0.667-1.000),0.988(0.975-1.000)
resnet18,val,,Wear,0.946(0.868-0.995),0.601(0.272-0.889),0.996(0.987-1.000),0.983(0.965-0.996),0.854(0.500-1.000),0.979(0.958-0.996)
resnet18,val,,Fracture,0.912(0.862-0.950),0.398(0.244-0.567),0.956(0.926-0.981),0.902(0.863-0.939),0.608(0.400-0.812),0.874(0.833-0.917)
resnet18,val,,Stem Loosening,0.858(0.742-0.953),0.644(0.421-0.842),0.954(0.926-0.978),0.963(0.936-0.986),0.587(0.385-0.773),0.925(0.892-0.958)
resnet18,val,,Acetabular Loosening,0.784(0.719-0.845),0.483(0.352-0.613),0.798(0.734-0.858),0.797(0.734-0.860),0.485(0.357-0.608),0.709(0.646-0.771)
resnet18,val,,Good Place,0.751(0.690-0.814),0.582(0.473-0.690),0.714(0.646-0.785),0.777(0.702-0.841),0.499(0.395-0.598),0.670(0.613-0.733)
googlenet,val,,Dislocation,0.991(0.977-1.000),0.745(0.444-1.000),0.991(0.978-1.000),0.987(0.969-1.000),0.821(0.562-1.000),0.979(0.958-0.996)
googlenet,val,,Spacer,0.985(0.961-0.999),0.489(0.214-0.769),1.000(1.000-1.000),0.970(0.947-0.991),1.000(1.000-1.000),0.971(0.950-0.992)
googlenet,val,,Fracture,0.916(0.876-0.951),0.371(0.219-0.533),0.941(0.907-0.971),0.897(0.856-0.934),0.521(0.321-0.722),0.858(0.812-0.896)
