model,epoch,train_loss,val_auc
googlenet,1,1.7914561957875839,0.5250062816844274
googlenet,2,1.7049491349405488,0.4860588073415741
googlenet,3,1.7115182525717594,0.6114014932850981
googlenet,4,1.6969039798214294,0.6330474534765557
googlenet,5,1.7025368843492754,0.5693967885656458
googlenet,6,1.6771017895389093,0.514609769495502
googlenet,7,1.7030719891100654,0.5694664018759988
googlenet,8,1.6883864438720722,0.6144895370688152
googlenet,9,1.6770452430653773,0.6357933279091696
googlenet,10,1.6712709807659374,0.5778407338377572
googlenet,11,1.6753371437726177,0.5786312306377326
googlenet,12,1.6499488729044383,0.6286429558576161
googlenet,13,1.616241564652888,0.6179010677389307
googlenet,14,1.628390286023424,0.6453220178987376
googlenet,15,1.6202535412136119,0.5858638033225676
googlenet,16,1.624200725152783,0.5702391242324182
googlenet,17,1.587101659671245,0.6175178725788515
googlenet,18,1.6048208477988892,0.6904961066144992
googlenet,19,1.6045316503764062,0.652017373111101
googlenet,20,1.5862337691648734,0.6759015778889372
googlenet,21,1.5570087491818878,0.6826382016541427
googlenet,22,1.58158390283297,0.6158035914787384
googlenet,23,1.55864175323698,0.47102701273044695
googlenet,24,1.55454452075199,0.6398503449502942
googlenet,25,1.5645302838957065,0.6249463933472459
googlenet,26,1.5641296886276135,0.49205757837629516
googlenet,27,1.5454292983284044,0.6656586256653102
googlenet,28,1.4931354414855902,0.738155789291464
googlenet,29,1.4804342563822417,0.7411787013947612
googlenet,30,1.493107149051671,0.7135374183420176
googlenet,31,1.4430554967162406,0.5158720503843565
googlenet,32,1.4346000945467425,0.739455788523322
googlenet,33,1.429954831361483,0.7407403718727844
googlenet,34,1.4349942620039273,0.6141273857019269
googlenet,35,1.4673715310735207,0.7280886750024058
googlenet,36,1.4106433247772143,0.487051455998878
googlenet,37,1.3802642996262295,0.5297680462923605
googlenet,38,1.3581579371441979,0.7843552641768203
googlenet,39,1.3515659208320738,0.7933471776379568
googlenet,40,1.3964466267816984,0.7463273867565406
googlenet,41,1.3215888354689134,0.7596060056286371
googlenet,42,1.3242903500615615,0.7644895989146792
googlenet,43,1.3153281292380412,0.792351734276554
