table,model,searched_auc,original_auc,delta_auc,searched_acc,original_acc,delta_acc
table1,casgnet,0.9642007740364068,0.962,-0.0022007740364068384,0.9316770186335405,0.938,0.006322981366459479
table1,mobilenetv4_m,0.9332107109193961,0.918,-0.015210710919396075,0.9503105590062111,0.9,-0.050310559006211064
table1,starnet_s1,0.9449100940664473,0.952,0.0070899059335526315,0.9701863354037267,0.947,-0.02318633540372672
table1,densenet121,0.9358654631573816,0.957,0.021134536842618346,0.9080745341614905,0.944,0.03592546583850942
table1,resnet18,0.9355911231107635,0.951,0.015408876889236423,0.9192546583850932,0.929,0.00974534161490681
table1,googlenet,0.9338816285039256,0.903,-0.030881628503925618,0.9701863354037268,0.879,-0.09118633540372678
table1,resnet50,0.9344250449309816,0.917,-0.017425044930981515,0.9813664596273293,0.914,-0.06736645962732923
table1,lsnet_b,0.9428195580112938,0.953,0.010180441988706157,0.9204968944099379,0.933,0.01250310559006218
table2,casgnet,0.9526981453413658,0.944,-0.008698145341365815,0.9166666666666667,0.924,0.007333333333333303
table2,mobilenetv4_m,0.8951594718748382,0.936,0.04084052812516181,0.8714285714285713,0.916,0.044571428571428706
table2,starnet_s1,0.9424675939019872,0.935,-0.007467593901987146,0.9023809523809524,0.911,0.008619047619047637
table2,densenet121,0.9103639847471964,0.933,0.022636015252803676,0.8785714285714283,0.93,0.05142857142857171
table2,resnet18,0.8924257662876132,0.934,0.04157423371238689,0.8773809523809524,0.911,0.03361904761904766
table2,googlenet,0.8998919506825169,0.929,0.02910804931748312,0.8535714285714286,0.909,0.05542857142857138
table2,resnet50,0.8962037133870789,0.922,0.025796286612921104,0.8678571428571429,0.904,0.03614285714285714
table2,lsnet_b,0.922670460935617,0.922,-0.0006704609356169566,0.8923395445134574,0.905,0.012660455486542599
