model,split,class,auc,sensitivity,specificity,npv,ppv,acc
casgnet,test,Acetabular Loosening,0.913(0.864-0.955),0.501(0.375-0.625),0.980(0.958-0.995),0.872(0.827-0.915),0.880(0.758-0.971),0.873(0.829-0.911)
casgnet,test,Dislocation,1.000(0.998-1.000),0.838(0.600-1.000),1.000(1.000-1.000),0.992(0.980-1.000),1.000(1.000-1.000),0.993(0.981-1.000)
casgnet,test,Fracture,0.962(0.937-0.982),0.799(0.674-0.912),0.950(0.922-0.977),0.963(0.938-0.986),0.747(0.609-0.875),0.927(0.895-0.954)
casgnet,test,Good Place,0.964(0.945-0.981),0.990(0.967-1.000),0.783(0.725-0.839),0.993(0.976-1.000),0.719(0.640-0.790),0.857(0.814-0.895)
casgnet,test,Spacer,0.999(0.998-1.000),0.938(0.786-1.000),1.000(1.000-1.000),0.996(0.987-1.000),1.000(1.000-1.000),0.996(0.988-1.000)
casgnet,test,Stem Loosening,0.973(0.950-0.992),0.729(0.536-0.897),0.987(0.971-1.000),0.975(0.953-0.992),0.845(0.667-1.000),0.965(0.942-0.984)
casgnet,test,Wear,0.926(0.867-0.974),0.475(0.231-0.733),0.992(0.979-1.000),0.964(0.940-0.984),0.800(0.500-1.000),0.958(0.930-0.981)
densenet121,test,Acetabular Loosening,0.928(0.881-0.965),0.791(0.681-0.895),0.926(0.888-0.961),0.939(0.905-0.970),0.757(0.644-0.862),0.896(0.857-0.934)
densenet121,test,Dislocation,0.997(0.990-1.000),0.838(0.600-1.000),0.996(0.988-1.000),0.992(0.980-1.000),0.909(0.700-1.000),0.989(0.973-1.000)
densenet121,test,Fracture,0.984(0.966-0.997),0.950(0.871-1.000),0.960(0.934-0.982),0.991(0.976-1.000),0.812(0.698-0.911),0.958(0.934-0.981)
densenet121,test,Good Place,0.942(0.914-0.967),0.751(0.667-0.840),0.934(0.894-0.969),0.870(0.821-0.917),0.865(0.787-0.933),0.868(0.829-0.907)
densenet121,test,Spacer,1.000(1.000-1.000),1.000(1.000-1.000),0.987(0.971-1.000),1.000(1.000-1.000),0.839(0.643-1.000),0.988(0.973-1.000)
densenet121,test,Stem Loosening,0.974(0.950-0.991),0.825(0.647-0.960),0.970(0.947-0.991),0.983(0.966-0.996),0.722(0.538-0.897),0.957(0.930-0.981)
densenet121,test,Wear,0.875(0.749-0.966),0.531(0.278-0.769),0.979(0.959-0.992),0.967(0.942-0.988),0.634(0.375-0.867),0.949(0.919-0.973)
lsnet_b,test,Acetabular Loosening,0.921(0.880-0.957),0.759(0.641-0.871),0.921(0.879-0.956),0.930(0.892-0.965),0.735(0.621-0.850),0.884(0.845-0.922)
lsnet_b,test,Dislocation,0.999(0.995-1.000),0.756(0.499-1.000),1.000(1.000-1.000),0.988(0.975-1.000),1.000(1.000-1.000),0.989(0.977-1.000)
lsnet_b,test,Fracture,0.974(0.951-0.991),0.877(0.762-0.973),0.932(0.896-0.963),0.976(0.953-0.995),0.703(0.564-0.825),0.923(0.891-0.953)
lsnet_b,test,Good Place,0.926(0.893-0.956),0.742(0.653-0.828),0.892(0.842-0.933),0.860(0.807-0.911),0.794(0.706-0.872),0.838(0.791-0.884)
lsnet_b,test,Spacer,1.000(1.000-1.000),0.938(0.786-1.000),1.000(1.000-1.000),0.996(0.987-1.000),1.000(1.000-1.000),0.996(0.988-1.000)
lsnet_b,test,Stem Loosening,0.989(0.977-0.997),0.775(0.579-0.938),0.974(0.953-0.992),0.979(0.958-0.996),0.741(0.562-0.913),0.957(0.930-0.981)
lsnet_b,test,Wear,0.862(0.741-0.949),0.475(0.238-0.708),0.975(0.953-0.992),0.964(0.938-0.984),0.576(0.308-0.833),0.943(0.911-0.969)
starnet_s1,test,Acetabular Loosening,0.944(0.907-0.975),0.811(0.704-0.903),0.935(0.900-0.969),0.945(0.910-0.974),0.784(0.679-0.885),0.907(0.872-0.942)
starnet_s1,test,Dislocation,0.998(0.994-1.000),0.839(0.600-1.000),0.996(0.988-1.000),0.992(0.980-1.000),0.912(0.714-1.000),0.989(0.977-1.000)
starnet_s1,test,Fracture,0.959(0.930-0.981),0.824(0.694-0.927),0.937(0.901-0.967),0.967(0.940-0.986),0.706(0.571-0.837),0.919(0.888-0.953)
