实验/模型,平均mAP(%),mAP_std,平均Acc(%),Acc_std,平均Precision(%),平均Recall(%),平均F1(%)
主模型 SupConCLIP,82.42,1.73,84.73,0.74,82.42,68.27,71.44
对比-基线CLIP,80.01,1.99,84.23,0.95,80.01,66.84,69.24
对比-SupCon+CLIP,82.1,3.06,83.92,0.77,82.1,65.01,68.43
对比-SupCon+CLIP+Class,81.38,2.19,84.11,0.94,81.38,64.83,68.31
对比-SuperCLIP,80.01,1.99,84.23,0.95,80.01,66.84,69.24
消融-仅CLIP,80.01,1.99,84.23,0.95,80.01,66.84,69.24
消融-仅SupCon,10.64,4.21,18.67,14.45,10.64,5.64,3.31
消融-SupCon+CLIP,82.1,3.06,83.92,0.77,82.1,65.01,68.43
消融-SupCon+CLIP+Class,81.38,2.19,84.11,0.94,81.38,64.83,68.31
消融-CLIP+SupCon,82.23,2.59,84.29,0.9,82.23,67.45,71.06
消融-SupCon+Focal,79.93,2.24,84.23,0.63,79.93,66.47,69.7
ResNet50+PMC-CLIP+BiomedCLIP,77.97,2.95,83.49,1.54,77.97,69.99,72.0
