类别,类别索引,样本数,TP (平均),FP (平均),FN (平均),TN (平均),精确率 (%),召回率 (%),F1分数 (%),特异性 (%),AUC,准确率 (%)
Acetabular Loosening,0,46,33,17,12,260,67.52±10.04,73.48±5.57,69.63±4.51,93.60±3.21,0.9524±0.0136,73.48±5.57
Dislocation,1,9,7,1,1,313,84.70±4.23,84.44±8.89,84.27±4.55,99.56±0.16,0.9925±0.0120,84.44±8.89
Fracture,2,23,19,6,3,294,77.28±7.45,86.09±6.96,80.88±2.68,97.94±0.90,0.9878±0.0039,86.09±6.96
Good Place,3,51,39,22,11,251,65.85±6.64,78.04±10.33,70.55±2.47,91.94±3.44,0.9542±0.0056,78.04±10.33
Infection,4,16,2,3,13,304,49.00±36.11,16.25±17.94,20.26±17.76,98.90±0.91,0.9013±0.0303,16.25±17.94
Native Hip,5,150,148,0,1,174,100.00±0.00,99.20±0.50,99.60±0.25,100.00±0.00,1.0000±0.0001,99.20±0.50
Spacer,6,10,10,1,0,312,89.70±6.17,100.00±0.00,94.46±3.38,99.62±0.24,0.9996±0.0008,100.00±0.00
Stem Loosening,7,14,6,1,8,308,80.71±10.97,42.86±11.07,54.85±8.02,99.48±0.33,0.9451±0.0352,42.86±11.07
Wear,8,5,1,0,3,318,85.00±30.00,28.00±9.80,40.63±14.08,99.81±0.38,0.9774±0.0212,28.00±9.80
整体,-,-,-,-,-,-,-,-,-,-,-,83.27%
