类别,类别索引,样本数,TP,FP,FN,TN,精确率 (%),召回率 (%),F1分数 (%),特异性 (%),AUC,准确率 (%)
Acetabular Loosening,0,46,36,29,10,249,55.38,78.26,64.86,89.57,0.934,78.26
Dislocation,1,9,7,1,2,314,87.5,77.78,82.35,99.68,0.9979,77.78
Fracture,2,23,19,6,4,295,76.0,82.61,79.17,98.01,0.9861,82.61
Good Place,3,51,35,15,16,258,70.0,68.63,69.31,94.51,0.9444,68.63
Infection,4,16,1,4,15,304,20.0,6.25,9.52,98.7,0.8795,6.25
Native Hip,5,150,148,0,2,174,100.0,98.67,99.33,100.0,1.0,98.67
Spacer,6,10,10,2,0,312,83.33,100.0,90.91,99.36,1.0,100.0
Stem Loosening,7,14,6,1,8,309,85.71,42.86,57.14,99.68,0.9606,42.86
Wear,8,5,1,3,4,316,25.0,20.0,22.22,99.06,0.9373,20.0
整体,-,324,-,-,-,-,-,-,-,-,-,81.17
