Class,Class Index,Support,TP (mean),FP (mean),FN (mean),TN (mean),Precision (%),Recall (%),F1-Score (%),Specificity (%),AUC,Accuracy (%)
Acetabular Loosening,0,45,32,26,13,251,58.05±8.98,71.09±12.74,62.31±4.60,90.41±5.60,0.9217±0.0096,71.09±12.74
Dislocation,1,9,6,1,2,313,87.56±10.19,73.78±11.54,78.68±4.18,99.62±0.31,0.9794±0.0196,73.78±11.54
Fracture,2,22,10,2,12,298,83.69±9.37,45.30±18.21,56.45±13.77,99.27±0.53,0.9229±0.0288,45.30±18.21
Good Place,3,50,39,29,11,243,58.18±3.03,78.27±10.62,66.22±3.25,89.37±2.51,0.9370±0.0148,78.27±10.62
Infection,4,16,3,4,12,303,56.94±24.05,20.96±7.37,27.67±5.45,98.63±1.00,0.8754±0.0292,20.96±7.37
Native Hip,5,150,149,0,0,172,99.47±0.49,99.60±0.53,99.53±0.27,99.54±0.43,0.9991±0.0018,99.60±0.53
Spacer,6,10,8,0,2,312,91.92±9.98,80.73±13.15,85.21±9.17,99.75±0.31,0.9327±0.0553,80.73±13.15
Stem Loosening,7,13,5,1,8,308,86.67±13.18,38.79±15.71,50.15±12.70,99.55±0.60,0.9013±0.0285,38.79±15.71
Wear,8,4,1,0,3,318,70.00±40.00,26.00±17.44,37.14±23.41,99.94±0.13,0.9004±0.0747,26.00±17.44
Overall,-,-,-,-,-,-,-,-,-,-,-,79.47%
